"#";"Symbol";"Rev_Oneday";"modelregs";"trend";"modelw";"modelregl"
1;"RAIL3.SA";1;1;1;1;1
2;"LINX3.SA";0;1;1;1;1
3;"POMO4.SA";0;1;1;1;1
4;"QGEP3.SA";0;1;1;1;1
